name,rank,year,industry,sector,headquarters_state
Banc One Corporation,145,1996,Commercial Banks,,OH
Monsanto Company,146,1996,Chemicals,,MO
Marriott International,147,1996,"Hotels, Casinos, Resorts",,DC
Union Pacific Corporation,148,1996,Railroads,,PA
"Salomon, Inc.",149,1996,X Brokerage,,NY
"Tenneco, Inc.",150,1996,Motor Vehicles & Parts,,CT
"ITT Industries, Inc.",151,1996,Motor Vehicles & Parts,,NY
Bankers Trust New York Corporation,152,1996,Commercial Banks,,NY
Bergen Brunswig Corporation,153,1996,Wholesalers,,CA
"CPC International, Inc.",154,1996,Food,,NJ
Edison International,155,1996,Utilities: Gas and Electric,,CA
"General Mills, Inc.",156,1996,Food,,MN
"Sun Company, Inc.",157,1996,Petroleum Refining,,PA
Colgate-Palmolive Company,158,1996,"Soaps, Cosmetics",,NY
Whirlpool Corporation,159,1996,"Electronics, Electrical Equipment",,MI
"Johnson Controls, Inc.",160,1996,Motor Vehicles & Parts,,WI
Woolworth Corporation,161,1996,Specialty Retailers,,NY
H.J. Heinz Company,162,1996,Food,,PA
Time Warner Inc.,163,1996,Entertainment,,NY
College Retirement Equities Fund,164,1996,Diversified Financials,,NY
"Dean Witter, Discover & Co.",165,1996,Diversified Financials,,NY
Fleet Financial Group,166,1996,Commercial Banks,,MA
"The Limited, Inc.",167,1996,Specialty Retailers,,OH
"Cardinal Health, Inc.",168,1996,Wholesalers,,OH
Dana Corporation,169,1996,Motor Vehicles & Parts,,OH
Norwest Corporation,170,1996,Commercial Banks,,MN
Eli Lilly & Company,171,1996,Pharmaceuticals,,IN
Unocal Corporation,172,1996,Petroleum Refining,,CA
Amerada Hess Corporation,173,1996,Petroleum Refining,,NY
"USAir Group, Inc.",174,1996,Airlines,,VA
Stone Container Corporation,175,1996,Forest and Paper Products,,IL
Tosco Corporation,176,1996,Petroleum Refining,,CT
Campbell Soup Company,177,1996,Food,,NJ
"Farmland Industries, Inc.",178,1996,Food,,MO
Ralston Purina Company,180,1996,Food,,MO
General Re Corporation,181,1996,Insurance: Property and Casualty (Stock),,CT
"AFLAC, Inc.",182,1996,"Insurance: Life, Health (Stock)",,GA
"Pharmacia & Upjohn, Inc.",183,1996,Pharmaceuticals,,DE
Reynolds Metals Company,184,1996,Specialty Retailers,,NC
"PPG Industries, Inc.",185,1996,Chemicals,,PA
Warner-Lambert Company,186,1996,Pharmaceuticals,,NJ
Kellogg Company,187,1996,Food,,MI
Champion International Corporation,188,1996,Forest and Paper Products,,CT
Unicom Corporation,189,1996,Utilities: Gas and Electric,,IL
"Tele-Communications, Inc.",190,1996,Telecommunications,,CO
Eaton Corporation,191,1996,Motor Vehicles & Parts,,OH
Northrop Grumman Corporation,192,1996,Aerospace & Defense,,CA
Massachusetts Mutual Life Insurance,193,1996,"Insurance: Life, Health (Mutual)",,MA
James River Corporation of Virginia,194,1996,Forest and Paper Products,,VA
The Gillette Company,195,1996,Metal Products,,MA
"Coca-Cola Enterprises, Inc.",196,1996,Beverages,,GA
"Honeywell, Inc.",197,1996,"Scientific, Photographic and Control Equipment",,MN
Levi Strauss Associates,198,1996,Apparel,,CA
Lincoln National Corporation,199,1996,"Insurance: Life, Health (Stock)",,IN
United Services Automobile Association,200,1996,Insurance: Property and Casualty (Stock),,TX
R.R. Donnelley & Sons,201,1996,"Publishing, Printing",,IL
American General Corporation,202,1996,Diversified Financials,,TX
Unisys Corporation,203,1996,Computer And Data Services,,PA
"Consolidated Edison Company of New York, Inc.",204,1996,Utilities: Gas and Electric,,NY
PNC Bank Corp.,205,1996,Commercial Banks,,PA
The Quaker Oats Company,206,1996,Food,,IL
ITT Corporation,207,1996,"Hotels, Casinos, Resorts",,NY
Navistar International Corporation,208,1996,Motor Vehicles & Parts,,IL
Entergy Corporation,209,1996,Utilities: Gas and Electric,,LA
"Burlington Northern Santa Fe, Corp.",210,1996,Railroads,,TX
Guardian Life Insurance Co. of America,211,1996,"Insurance: Life, Health (Mutual)",,NY
"Public Service Enterprise Group, Inc.",212,1996,Utilities: Gas and Electric,,NJ
Transamerica Corporation,213,1996,"Insurance: Life, Health (Stock)",,CA
"Dillard Department Stores, Inc.",214,1996,General Merchandisers,,AR
Chubb Corporation,215,1996,Insurance: Property and Casualty (Stock),,NJ
KeyCorp,216,1996,Commercial Banks,,OH
"Associated Insurance Companies,Inc.",217,1996,"Insurance: Life, Health (Stock)",,IN
Halliburton Company,218,1996,Engineering & Construction,,TX
Microsoft Corporation,219,1996,Computer And Data Services,,WA
Arrow Electronics,220,1996,Wholesalers,,NY
"American Brands, Inc.",221,1996,Tobacco,,CT
"Sun Microsystems, Inc.",222,1996,"Computers, Office Equipment",,CA
Union Carbide Corporation,223,1996,Chemicals,,CT
John Hancock Mutual Life Insurance Company,224,1996,"Insurance: Life, Health (Mutual)",,MA
Tandy Corporation,225,1996,Specialty Retailers,,TX
"Continental Airlines, Inc.",226,1996,Airlines,,TX
"Merisel, Inc.",227,1996,Wholesalers,,CA
W.R. Grace & Co.,228,1996,Chemicals,,FL
"Browning-Ferris Industries, Inc.",229,1996,Waste Management,,TX
Ingersoll-Rand Company,230,1996,Industrial and Farm Equipment,,NJ
"American Electric Power Company, Inc.",231,1996,Utilities: Gas and Electric,,OH
United HealthCare Corporation,232,1996,Health Care,,MN
Texas Utilities Company,233,1996,Utilities: Gas and Electric,,TX
"Dresser Industries, Inc.",234,1996,Industrial and Farm Equipment,,TX
ARAMARK Corporation,235,1996,Food Services,,PA
"FPL Group, Inc.",236,1996,Utilities: Gas and Electric,,FL
"Circuit City Stores, Inc.",237,1996,Specialty Retailers,,VA
The Black & Decker Corporation,238,1996,Industrial and Farm Equipment,,MD
"Tyson Foods, Inc.",239,1996,Food,,AR
Loral Corporation,240,1996,"Electronics, Electrical Equipment",,NY
Manpower Inc.,241,1996,Temporary Help,,WI
Dun & Bradstreet Corporation (The),242,1996,Computer And Data Services,,CT
Bank of Boston Corporation,243,1996,Commercial Banks,,MA
"The St. Paul Companies, Inc.",244,1996,Insurance: Property and Casualty (Stock),,MN
Wells Fargo & Company,245,1996,Commercial Banks,,CA
"Corning, Inc.",246,1996,"Building Materials, Glass",,NY
The Bank of New York Company,247,1996,Commercial Banks,,NY
"Paine Webber Group, Inc.",248,1996,X Brokerage,,NY
"Office Depot, Inc.",249,1996,Specialty Retailers,,FL
Dell Computer Corporation,250,1996,"Computers, Office Equipment",,TX
"Consolidated Freightways, Inc.",251,1996,Trucking,,CA
Genuine Parts Company,252,1996,Wholesalers,,GA
"Cummins Engine Company, Inc.",253,1996,Industrial and Farm Equipment,,IN
"AMP , Inc.",254,1996,"Electronics, Electrical Equipment",,PA
"American Standard Companies, Inc.",255,1996,Industrial and Farm Equipment,,NJ
The Mead Corporation,256,1996,Forest and Paper Products,,OH
FoxMeyer Health Corporation,257,1996,Wholesalers,,TX
Ryder System,258,1996,"Automotive Retailing, Services",,FL
Schering-Plough Corporation,259,1996,Pharmaceuticals,,NJ
"Household International, Inc.",260,1996,Diversified Financials,,IL
Case Corporation,261,1996,Industrial and Farm Equipment,,WI
Best Buy Co. Inc.,262,1996,Specialty Retailers,,MN
"The Vons Companies, Inc.",263,1996,Food & Drug Stores,,CA
VF Corporation,264,1996,Apparel,,PA
Boise Cascade Corporation,265,1996,Forest and Paper Products,,ID
"Crown Cork & Seal Company, Inc.",266,1996,Metal Products,,PA
Eastman Chemical Company,267,1996,Chemicals,,TN
Eckerd Corporation,268,1996,Food & Drug Stores,,FL
PanEnergy Corp.,269,1996,Pipelines,,TX
Lyondell Petrochemical Company,270,1996,Chemicals,,TX
"Cooper Industries, Inc.",271,1996,"Electronics, Electrical Equipment",,TX
Bethlehem Steel Corporation,272,1996,Metals,,PA
Paccar Inc.,273,1996,Motor Vehicles & Parts,,WA
First Interstate Bancorp,274,1996,Commercial Banks,,CA
"Inland Steel Industries, Inc.",275,1996,Metals,,IL
Masco,276,1996,Metal Products,,MI
"Nike, Inc.",277,1996,Wholesalers,,OR
Lear Seating Corporation,278,1996,Motor Vehicles & Parts,,MI
"Humana, Inc.",279,1996,Health Care,,KY
Duke Power Company,280,1996,Utilities: Gas and Electric,,NC
Bindley Western Industries,281,1996,Wholesalers,,IN
AmeriSource Health Corporation,282,1996,Wholesalers,,PA
Norfolk Southern Corporation,283,1996,Railroads,,VA
"Thrifty Payless Holdings, Inc.",284,1996,Food & Drug Stores,,OR
"Dominion Resources, Inc.",285,1996,Utilities: Gas and Electric,,VA
FMC Corporation,286,1996,Chemicals,,IL
"Seagate Technology, Inc.",287,1996,"Computers, Office Equipment",,CA
Tyco International Ltd.,288,1996,Metal Products,,NH
Rite Aid Corporation,289,1996,Food & Drug Stores,,PA
Mellon Bank Corporation,290,1996,Commercial Banks,,PA
"Avon Products, Inc.",291,1996,"Soaps, Cosmetics",,NY
"Berkshire Hathaway, Inc.",292,1996,Diversified Financials,,NE
"The TJX Companies, Inc.",293,1996,Specialty Retailers,,MA
"Revco D.S., Inc.",294,1996,Food & Drug Stores,,OH
H.F. Ahmanson,295,1996,Savings Institutions,,CA
"The Gap, Inc.",296,1996,Specialty Retailers,,CA
Houston Industries Incorporated,297,1996,Utilities: Gas and Electric,,TX
Avnet,298,1996,Wholesalers,,NY
The LTV Corporation,299,1996,Metals,,OH
Union Camp Corporation,300,1996,Forest and Paper Products,,NJ
PECO Energy Company,301,1996,Utilities: Gas and Electric,,PA
Phelps Dodge Corporation,302,1996,Metals,,AZ
Supermarkets General Holdings Corporation,303,1996,Food & Drug Stores,,NJ
"Dole Food Company, Inc.",304,1996,Food,,CA
"Illinois Tool Works, Inc.",305,1996,Metal Products,,IL
Mutual of Omaha Insurance Companies,306,1996,"Insurance: Life, Health (Mutual)",,NE
Unum Corp.,307,1996,"Insurance: Life, Health (Stock)",,ME
"The Stop & Shop Companies, Inc.",308,1996,Food & Drug Stores,,MA
"Nordstrom, Inc.",309,1996,General Merchandisers,,WA
Jefferson Smurfit Corporation,310,1996,Forest and Paper Products,,MO
First Data Corporation,311,1996,Computer And Data Services,,NJ
"Chiquita Brands International, Inc.",312,1996,Food,,OH
"Service Merchandise Company, Inc.",313,1996,Specialty Retailers,,TN
"Gannett Company, Inc.",314,1996,"Publishing, Printing",,VA
"Waban, Inc.",315,1996,Specialty Retailers,,MA
Niagara Mohawk Power Corporation,316,1996,Utilities: Gas and Electric,,NY
Student Loan Marketing Association,317,1996,Diversified Financials,,DC
FHP International Corporation,318,1996,Health Care,,CA
"Air Products & Chemicals, Inc.",319,1996,Chemicals,,PA
CMS Energy Corporation,320,1996,Utilities: Gas and Electric,,MI
Rohm & Haas Company,321,1996,Chemicals,,PA
"Willamette Industries, Inc.",322,1996,Forest and Paper Products,,OR
"Pitney Bowes, Inc.",323,1996,"Computers, Office Equipment",,CT
General Public Utilities Corporation,324,1996,Utilities: Gas and Electric,,NJ
"Marsh & McLennan Companies, Inc.",325,1996,Diversified Financials,,NY
"Owens-Illinois, Inc.",326,1996,"Building Materials, Glass",,OH
Wachovia Corporation,327,1996,Commercial Banks,,NC
"The Bear Stearns Companies, Inc.",328,1996,X Brokerage,,NY
Northeast Utilities Service Company,329,1996,Utilities: Gas and Electric,,CT
Dover Corporation,330,1996,Industrial and Farm Equipment,,NY
"SunTrust Banks, Inc.",331,1996,Commercial Banks,,GA
Central & South West Corporation,332,1996,Utilities: Gas and Electric,,TX
"PacifiCare Health Systems, Inc.",333,1996,Health Care,,CA
Safeco Corporation,334,1996,Insurance: Property and Casualty (Stock),,WA
"Giant Food, Inc.",335,1996,Food & Drug Stores,,MD
Hershey Foods Corporation,336,1996,Food,,PA
Conrail Inc.,337,1996,Railroads,,PA
"Barnett Banks, Inc.",338,1996,Commercial Banks,,FL
"Gateway 2000, Inc.",339,1996,"Computers, Office Equipment",,SD
NGC Corporation,340,1996,Pipelines,,TX
"WorldCom, Inc.",341,1996,Telecommunications,,MS
"Mattel, Inc.",342,1996,"Toys, Sporting Goods",,CA
DTE Energy Company,343,1996,Utilities: Gas and Electric,,MI
American Financial Group,344,1996,Insurance: Property and Casualty (Stock),,OH
Owens-Corning,345,1996,"Building Materials, Glass",,OH
The Dial Corp.,346,1996,"Soaps, Cosmetics",,AZ
"Premark International, Inc.",347,1996,Rubber and Plastic Products,,IL
The Circle K Corporation,348,1996,Food & Drug Stores,,AZ
Great Western Financial Corporation,349,1996,Savings Institutions,,CA
General Dynamics Corporation,350,1996,Aerospace & Defense,,VA
The Penn Traffic Company,351,1996,Food & Drug Stores,,NY
"U.S. Healthcare, Inc.",352,1996,Health Care,,PA
"Food 4 Less Holdings, Inc.",353,1996,Food & Drug Stores,,CA
The Times Mirror Company,354,1996,"Publishing, Printing",,CA
Reebok International Ltd.,355,1996,Wholesalers,,MA
Harris Corporation,356,1996,"Electronics, Electrical Equipment",,FL
"Intelligent Electronics, Inc.",357,1996,Wholesalers,,PA
Aon Corporation,358,1996,"Insurance: Life, Health (Stock)",,IL
Nucor Corporation,359,1996,Metals,,NC
"Temple-Inland, Inc.",360,1996,Forest and Paper Products,,TX
USF&G Corporation,361,1996,Insurance: Property and Casualty (Stock),,MD
National City Corporation,362,1996,Commercial Banks,,OH
"Turner Broadcasting System, Inc.",363,1996,Entertainment,,GA
"Fred Meyer, Inc.",364,1996,General Merchandisers,,OR
PacifiCorp,365,1996,Utilities: Gas and Electric,,OR
Providian Corporation,366,1996,"Insurance: Life, Health (Stock)",,KY
Computer Sciences Corporation,367,1996,Computer And Data Services,,CA
Quantum Corporation,368,1996,"Computers, Office Equipment",,CA
Comcast Corporation,369,1996,Telecommunications,,PA
"Morton International, Inc.",370,1996,Chemicals,,IL
"First Bank System, Inc.",371,1996,Commercial Banks,,MN
"Litton Industries, Inc.",372,1996,"Electronics, Electrical Equipment",,CA
Tenet Healthcare Corp.,373,1996,Health Care,,CA
"Trans World Airlines, Inc.",374,1996,Airlines,,MO
"MAPCO, Inc.",375,1996,Petroleum Refining,,OK
Consolidated Natural Gas Company,376,1996,Utilities: Gas and Electric,,PA
Westvaco Corporation,377,1996,Forest and Paper Products,,NY
The Turner Corporation,378,1996,Engineering & Construction,,NY
Universal Corporation,379,1996,Tobacco,,VA
Centex Corporation,380,1996,Engineering & Construction,,TX
"W.W. Grainger, Inc.",381,1996,Wholesalers,,IL
The Sherwin-Williams Company,382,1996,Chemicals,,OH
"Harcourt General, Inc.",383,1996,General Merchandisers,,MA
Allmerica Financial,384,1996,Insurance: Property and Casualty (Stock),,MA
"Beverly Enterprises, Inc.",385,1996,Health Care,,AR
Parker Hannifin Corporation,386,1996,Industrial and Farm Equipment,,OH
Cyprus Amax Minerals Company,387,1996,"Mining, Crude-Oil Production",,CO
ServiceMaster,388,1996,zMiscellaneous,,IL
"Asarco, Inc.",389,1996,"Mining, Crude-Oil Production",,NY
Pacific Mutual Life Insurance,390,1996,"Insurance: Life, Health (Mutual)",,CA
Southern Pacific Rail Corporation,391,1996,Railroads,,CA
"Praxair, Inc.",393,1996,Chemicals,,CT
Avery Dennison Corporation,394,1996,Forest and Paper Products,,CA
"Comerica, Inc.",395,1996,Commercial Banks,,MI
ALLTEL Corporation,396,1996,Telecommunications,,AR
"WellPoint Health Networks, Inc.",397,1996,Health Care,,CA
Tech Data Corporation,398,1996,Wholesalers,,FL
Olin Corporation,399,1996,Food & Drug Stores,,UT
Foster Wheeler Corporation,400,1996,Engineering & Construction,,NJ
Long Island Lighting Company,402,1996,Utilities: Gas and Electric,,NY
Brunswick Corporation,403,1996,"Publishing, Printing",,NY
"Staples, Inc.",404,1996,Specialty Retailers,,MA
"Applied Materials, Inc.",405,1996,"Electronics, Electrical Equipment",,CA
Yellow Corporation,406,1996,Trucking,,KS
Florida Progress Corporation,407,1996,Utilities: Gas and Electric,,FL
GEICO Corporation,408,1996,Insurance: Property and Casualty (Stock),,DC
Hormel Foods Corporation,409,1996,Food,,MN
Maytag Corporation,410,1996,"Electronics, Electrical Equipment",,IA
CINergy Corp.,411,1996,Utilities: Gas and Electric,,OH
Valero Energy Corporation,412,1996,Petroleum Refining,,TX
Carolina Power & Light Company,414,1996,Utilities: Gas and Electric,,NC
The Progressive Corporation,415,1996,Commercial Banks,,MO
"Owens & Minor, Inc.",416,1996,Wholesalers,,VA
Oracle Corporation,417,1996,Computer And Data Services,,CA
"Diamond Shamrock, Inc.",418,1996,Petroleum Refining,,TX
"Micron Technology, Inc.",419,1996,"Electronics, Electrical Equipment",,ID
Whitman Corporation,420,1996,Beverages,,IL
"Mercantile Stores Company, Inc.",421,1996,General Merchandisers,,OH
"MicroAge, Inc.",422,1996,Wholesalers,,AZ
"The McGraw-Hill Companies, Inc.",423,1996,"Publishing, Printing",,NY
Baltimore Gas & Electric Company,424,1996,Utilities: Gas and Electric,,MD
York International Corporation,425,1996,Industrial and Farm Equipment,,PA
"Alumax, Inc.",427,1996,Metals,,GA
The Pittston Company,428,1996,"Mail, Package, and Freight Delivery",,CT
"U.S. Industries, Inc.",429,1996,Metal Products,,NJ
"Reliance Group Holdings ,Inc.",430,1996,Insurance: Property and Casualty (Stock),,NY
Kerr-McGee Corporation,431,1996,Engineering & Construction,,NE
The Est_e Lauder Companies Inc.,432,1996,"Soaps, Cosmetics",,NY
U.S. Bancorp,433,1996,Commercial Banks,,OR
"American President Companies, Ltd.",434,1996,Marine services,,CA
"Flagstar Companies, Inc.",435,1996,Food Services,,SC
"Automatic Data Processing, Inc.",436,1996,Computer And Data Services,,NJ
Nash Finch Company,437,1996,Wholesalers,,MN
Southwest Airlines Co.,438,1996,Airlines,,TX
"Shaw Industries, Inc.",439,1996,Textiles,,GA
"Bruno's, Inc.",440,1996,Food & Drug Stores,,AL
CoreStates Financial Corporation,441,1996,Commercial Banks,,PA
Tribune Company,442,1996,"Publishing, Printing",,IL
NorAm Energy Corp.,443,1996,Pipelines,,TX
"Conseco, Inc.",444,1996,"Insurance: Life, Health (Stock)",,IN
Republic New York Corporation,445,1996,Commercial Banks,,NY
"Hasbro, Inc.",446,1996,"Toys, Sporting Goods",,RI
"The Williams Companies, Inc.",447,1996,Pipelines,,OK
"Fleetwood Enterprises, Inc.",448,1996,Forest and Paper Products,,CA
Louisiana-Pacific Corporation,449,1996,Forest and Paper Products,,OR
Engelhard Corporation,450,1996,Chemicals,,NJ
CompUSA Inc.,451,1996,Specialty Retailers,,TX
UtiliCorp United Inc.,452,1996,Utilities: Gas and Electric,,MO
Aid Association for Lutherans,453,1996,"Insurance: Life, Health (Mutual)",,WI
"Graybar Electric Company, Inc.",454,1996,Wholesalers,,MO
The Caldor Corp.,455,1996,General Merchandisers,,CT
"Knight-Ridder, Inc.",456,1996,"Publishing, Printing",,FL
Manville Corporation,457,1996,"Building Materials, Glass",,CO
"Health Systems International, Inc.",458,1996,Health Care,,CA
"Echlin, Inc.",459,1996,Motor Vehicles & Parts,,CT
Ultramar Corporation,460,1996,Petroleum Refining,,CT
"Becton, Dickinson and Company",461,1996,"Scientific, Photographic and Control Equipment",,NJ
Sonoco Products Company,462,1996,Forest and Paper Products,,SC
"Kelly Services, Inc.",463,1996,Temporary Help,,MI
